320 240
0 0.108668 0.0279742
0 0.0974114 0.0274101
0 0.120241 0.0350509
0 0.117157 0.032646
0 0.110318 0.0312274
0 0.103356 0.0289766
0 0.124352 0.0340044
0 0.115424 0.0314277
0 0.0992639 0.0284558
0 0.126554 0.0355401
0 0.133342 0.0391511
0 0.12222 0.03576
0 0.119643 0.0331425
0 0.124241 0.0352686
0.200878 0 0
0.199105 0 0
0.212663 0 0
0.177614 0 0
0.198951 0 0
0.152966 0 0
0.19761 0 0
0.204335 0 0
0.174152 0 0
0.167945 0 0
0.164392 0 0
0.176279 0 0
0.182306 0 0
0.176683 0 0
0.177545 0.00298233 0.00209604
0.173372 0.0132231 0.010939
0.189011 0.0704289 0.063836
0.18913 0.0937074 0.0871057
0.175513 0.107969 0.0909974
0.177567 0.099713 0.087015
0.186826 0.115921 0.107266
0.20091 0.101123 0.0894852
0.17396 0.0885475 0.0755623
0.198317 0.130127 0.118023
0.215798 0.11898 0.108677
0.199138 0.102066 0.0909723
0.186261 0.113224 0.0971384
0.178802 0.103727 0.0824716
0.171588 0.111781 0.101063
0.198834 0.105567 0.0947241
0.19854 0.0923038 0.0819624
0.200241 0.109862 0.0913289
0.191006 0.111996 0.102832
0.215221 0.116774 0.107132
0.181011 0.094216 0.0827559
0.206259 0.115451 0.10591
0.193024 0.112946 0.0976773
0.211074 0.111743 0.101148
0.222114 0.124714 0.111197
0.186027 0.113935 0.0984783
0.193142 0.116637 0.104893
0.185409 0.114325 0.100671
0.211489 0.118135 0.104144
0.206944 0.0953387 0.0863626
0.211127 0.115905 0.103026
0.1989 0.122715 0.103415
0.197063 0.107258 0.0944762
0.199965 0.122574 0.106312
0.211552 0.14419 0.125399
0.20238 0.118301 0.101926
0.201088 0.13081 0.115507
0.20796 0.133552 0.116801
0.223581 0.13612 0.12451
0.215987 0.13075 0.111881
0.217224 0.124855 0.109202
0.210352 0.125956 0.114296
0.19996 0.148609 0.125675
0.229095 0.118521 0.108438
0.239664 0.134488 0.115463
0.216617 0.138112 0.121226
0.203158 0.129118 0.1072
0.237069 0.132531 0.118403
0.220633 0.130616 0.119833
0.213127 0.162587 0.140819
0.243738 0.148325 0.134696
0.21804 0.128049 0.114796
0.230007 0.145149 0.132033
0.219529 0.136089 0.111271
0.204138 0.143844 0.129266
0.229782 0.1304 0.114645
0.23845 0.138039 0.123994
0.231801 0.151764 0.13486
0.19545 0.147245 0.132029
0.232593 0.155866 0.136951
0.238057 0.149077 0.13067
0.232553 0.161653 0.142362
0.22941 0.15383 0.130473
0.234817 0.156487 0.139927
0.233586 0.137204 0.126039
0.2522 0.15204 0.13447
0.229122 0.171305 0.148143
0.228388 0.157359 0.132536
0.194616 0.118382 0.099954
0.258229 0.164162 0.148639
0.247562 0.165527 0.147056
0.243906 0.156306 0.139277
0.200651 0.137237 0.120271
0.242438 0.178209 0.156991
0.222099 0.154935 0.133883
0.229006 0.148015 0.12662
0.223788 0.147204 0.130731
0.221367 0.167825 0.14237
0.224266 0.135705 0.122237
0.207459 0.145205 0.123801
0.246438 0.167401 0.151042
0.222409 0.155073 0.137804
0.216937 0.154649 0.128402
0.228665 0.187043 0.163194
0.24497 0.170386 0.150611
0.212117 0.166914 0.145323
0.211067 0.148653 0.130218
0.228551 0.177768 0.154662
0.215761 0.158643 0.135253
0.229547 0.167719 0.148082
0.234769 0.154587 0.127184
0.213154 0.159662 0.136706
0.20346 0.168482 0.141032
0.210895 0.17329 0.148795
0.23109 0.170208 0.154271
0.238963 0.172106 0.153718
0.254705 0.187868 0.172259
0.221522 0.160469 0.140354
0.225688 0.15636 0.139208
0.213997 0.165854 0.138365
0.23604 0.168187 0.151705
0.226781 0.186482 0.158834
0.227136 0.190273 0.161511
0.202378 0.164321 0.136271
0.23794 0.180518 0.157694
0.222304 0.167494 0.138625
0.225425 0.186906 0.165957
0.22172 0.171812 0.143963
0.214575 0.181832 0.152413
0.236825 0.189601 0.163194
0.216396 0.172026 0.145374
0.225187 0.177263 0.154995
0.245716 0.182363 0.156735
0.211206 0.170788 0.145348
0.239953 0.197487 0.171312
0.225638 0.178983 0.154067
0.201861 0.181672 0.155132
0.228395 0.194485 0.165793
0.214944 0.195492 0.160068
0.213728 0.16872 0.141791
0.243573 0.194594 0.172686
0.221871 0.184219 0.154472
0.257038 0.213731 0.177683
0.229288 0.173515 0.147198
0.242279 0.207429 0.17639
0.225215 0.19416 0.166391
0.2107 0.185997 0.157665
0.234781 0.215162 0.184203
0.180747 0.177239 0.139588
0.195838 0.160193 0.127687
0.222979 0.174605 0.149065
0.221846 0.201033 0.16414
0.230602 0.186273 0.158444
0.220852 0.166065 0.142528
0.208929 0.196803 0.172945
0.206889 0.187265 0.152133
0.22075 0.200406 0.168508
0.226134 0.190795 0.158389
0.224764 0.194489 0.160709
0.225297 0.209763 0.180873
0.220075 0.198296 0.16507
0.217489 0.196965 0.166144
0.208224 0.178916 0.149432
0.221611 0.198696 0.163815
0.211692 0.189789 0.162799
0.236434 0.227303 0.191617
0.207286 0.202403 0.167211
0.207723 0.20044 0.158226
0.201067 0.190208 0.152925
0.214116 0.206831 0.168125
0.20122 0.188994 0.153146
0.223871 0.21011 0.172226
0.203741 0.19787 0.163462
0.227554 0.213295 0.178745
0.214633 0.207231 0.176181
0.217399 0.193279 0.164528
0.212487 0.206438 0.174527
0.203264 0.203087 0.168325
0.203864 0.19083 0.149696
0.180137 0.186046 0.147412
0.221397 0.198118 0.159671
0.210722 0.184611 0.156395
0.189171 0.18898 0.152227
0.191766 0.197467 0.157482
0.202768 0.20843 0.166329
0.17536 0.175065 0.136538
0.21229 0.201424 0.169955
0.186236 0.212218 0.166781
0.190111 0.190756 0.150317
0.179625 0.186534 0.142542
0.199267 0.188948 0.151543
0.210459 0.201135 0.161872
0.162964 0.180761 0.135216
0.176447 0.209549 0.169678
0.190589 0.188144 0.151032
0.205298 0.217323 0.175616
0.213804 0.199687 0.163489
0.23752 0.212451 0.17926
0.183129 0.194932 0.153656
0.214311 0.206445 0.165936
0.174185 0.182601 0.143802
0.184452 0.192682 0.150883
0.204449 0.20326 0.166428
0.199643 0.210516 0.173379
0.195714 0.204819 0.162625
0.199824 0.193503 0.159012
